"school_year","vendor_name","type_of_service","active_employees","job_type"
"2018-2019","LOGAN BUS COMPANY INC.","School Age","1","Driver&Attendant"
"2018-2019","E-Z BUS LLC (B2321)","School Age","5","Attendant"
"2018-2019","E-Z BUS LLC (B2321)","School Age","3","Driver"
"2018-2019","E-Z BUS LLC (B2321)","School Age","2","Driver&Attendant"
"2018-2019","LOGAN TRANSPORTATION SYSTEMS","School Age","32","Driver"
"2018-2019","RELIANT TRANS, INC.","School Age","3","Attendant"
"2018-2019","RELIANT TRANS, INC.","School Age","6","Driver"
"2018-2019","LORINDA ENTERPRISES, LTD.","School Age","262","Attendant"
"2018-2019","LORINDA ENTERPRISES, LTD.","School Age","255","Driver"
"2018-2019","LORINDA ENTERPRISES, LTD.","School Age","2","Driver&Attendant"
"2018-2019","LORISSA BUS SERVICE INC.","School Age","115","Driver"
"2018-2019","MAR-CAN TRANSPORT CO. INC (B2192)","School Age","266","Attendant"
"2015-2016","ACADEMY EXPRESS LLC","Coach","20","Driver"
"2015-2016","ACADEMY EXPRESS LLC","School Age","20","Driver"
"2015-2016","ACME BUS CORP. (B2321)","School Age","55","Attendant"
"2018-2019","MUTUAL BUS CORP. (B2192)","School Age","8","Attendant"
"2018-2019","MUTUAL BUS CORP. (B2192)","School Age","9","Driver"
"2018-2019","QUALITY TRANSPORTATION CORP.","School Age","1","Driver&Attendant"
"2018-2019","SNT BUS INC","School Age","1","Driver&Attendant"
"2015-2016","ACME BUS CORP. (B2321)","School Age","53","Driver"
"2015-2016","ACME BUS CORP. (B2321)","School Age","4","Driver&Attendant"
"2015-2016","ALINA SERVICES CORP.","Pre-K","74","Attendant"
"2015-2016","ALINA SERVICES CORP.","Pre-K","60","Driver"
"2015-2016","ALINA SERVICES CORP.","Pre-K","4","Driver&Attendant"
"2015-2016","ALL AMERICAN SCHOOL BUS CORP.","School Age","55","Attendant"
"2015-2016","ALL AMERICAN SCHOOL BUS CORP.","School Age","152","Driver"
"2018-2019","MAR-CAN TRANSPORT CO. INC (B2192)","School Age","241","Driver"
"2015-2016","SMART PICK","Pre-K","41","Attendant"
"2015-2016","ALL COUNTY BUS LLC (B2321)","School Age","55","Attendant"
"2015-2016","ALL COUNTY BUS LLC (B2321)","School Age","53","Driver"
"2015-2016","ALLIED TRANSIT CORP.","School Age","33","Attendant"
"2015-2016","ALLIED TRANSIT CORP.","School Age","77","Driver"
"2015-2016","ALLIED TRANSIT CORP.","School Age","2","Driver&Attendant"
"2015-2016","ANOTHER RIDE INC.","Pre-K","8","Attendant"
"2015-2016","ANOTHER RIDE INC.","Pre-K","7","Driver"
"2015-2016","B & F SKILLED INC.(B2192)","School Age","45","Attendant"
"2018-2019","MAR-CAN TRANSPORT CO. INC (B2192)","School Age","4","Driver&Attendant"
"2018-2019","MUTUAL BUS CORP. (B2321)","School Age","24","Attendant"
"2018-2019","ANOTHER RIDE INC.","Pre-K","1","Driver&Attendant"
"2015-2016","MJT BUS","Pre-K","1","Driver"
"2015-2016","B & F SKILLED INC.(B2192)","School Age","40","Driver"
"2018-2019","MUTUAL BUS CORP. (B2321)","School Age","18","Driver"
"2018-2019","DON THOMAS BUSES, INC.","Pre-K","26","Attendant"
"2018-2019","MUTUAL BUS CORP. (B2321)","School Age","2","Driver&Attendant"
"2018-2019","NEW DAWN TRANSIT, LLC (B2321)","School Age","183","Attendant"
"2018-2019","NEW DAWN TRANSIT, LLC (B2321)","School Age","161","Driver"
"2018-2019","NEW DAWN TRANSIT, LLC (B2321)","School Age","7","Driver&Attendant"
"2018-2019","PENNY TRANSPORTATION","Pre-K","43","Attendant"
"2018-2019","PENNY TRANSPORTATION","Pre-K","36","Driver"
"2018-2019","PHILLIP BUS CORP (B2192)","School Age","46","Attendant"
"2015-2016","B & F SKILLED INC.(B2192)","School Age","2","Driver&Attendant"
"2015-2016","B & F SKILLED, INC.","Pre-K","13","Attendant"
"2015-2016","B & F SKILLED, INC.","Pre-K","13","Driver"
"2015-2016","BOBBY`S BUS CO. INC.","School Age","152","Driver"
"2015-2016","BORO TRANSIT, INC.","School Age","382","Attendant"
"2015-2016","BORO TRANSIT, INC.","School Age","566","Driver"
"2015-2016","BORO TRANSIT, INC.","School Age","1","Driver&Attendant"
"2015-2016","CAREFUL BUS SERVICE INC (B2192)","School Age","10","Attendant"
"2015-2016","CAREFUL BUS SERVICE INC (B2192)","School Age","10","Driver"
"2015-2016","CAREFUL BUS SERVICE INC (B2192)","School Age","1","Driver&Attendant"
"2015-2016","CAREFUL BUS","School Age","115","Attendant"
"2015-2016","CAREFUL BUS","School Age","89","Driver"
"2015-2016","CAREFUL BUS","School Age","16","Driver&Attendant"
"2015-2016","CHILDREN`S TRANS INC. (B2321)","School Age","11","Attendant"
"2015-2016","CHILDREN`S TRANS INC. (B2321)","School Age","11","Driver"
"2015-2016","SELBY TRANSPORTATION","Pre-K","90","Driver"
"2018-2019","SELBY TRANSPORTATION CORP (B2192)","School Age","2","Attendant"
"2018-2019","SELBY TRANSPORTATION CORP (B2192)","School Age","3","Driver"
"2018-2019","TWENTY FIRST AV TRANSP (B2192)","School Age","2","Attendant"
"2018-2019","PHILLIP BUS CORP (B2192)","School Age","46","Driver"
"2018-2019","PHILLIP BUS CORP (B2192)","School Age","3","Driver&Attendant"
"2018-2019","PHILLIPS BUS SERVICE","Pre-K","54","Attendant"
"2018-2019","PHILLIPS BUS SERVICE","Pre-K","49","Driver"
"2018-2019","PIONEER TRANSPORTATION CORP","School Age","196","Attendant"
"2018-2019","PIONEER TRANSPORTATION CORP","School Age","671","Driver"
"2018-2019","PIONEER TRANSPORTATION CORP","School Age","2","Driver&Attendant"
"2018-2019","PRIDE TRANSPORTATION (SCH AGE)","School Age","270","Attendant"
"2018-2019","HAPPY CHILD TRANS LLC (B2192)","School Age","21","Attendant"
"2018-2019","HAPPY CHILD TRANS LLC (B2192)","School Age","2","Driver"
"2015-2016","CONSOLIDATED BUS TRANS. INC.","School Age","115","Attendant"
"2018-2019","PRIDE TRANSPORTATION (SCH AGE)","School Age","255","Driver"
"2015-2016","CONSOLIDATED BUS TRANS. INC.","School Age","109","Driver"
"2015-2016","CONSOLIDATED BUS TRANS. INC.","School Age","2","Driver&Attendant"
"2015-2016","DON THOMAS BUSES, INC. (B2321)","School Age","135","Attendant"
"2015-2016","DON THOMAS BUSES, INC. (B2321)","School Age","124","Driver"
"2015-2016","DON THOMAS BUSES, INC. (B2321)","School Age","4","Driver&Attendant"
"2015-2016","DON THOMAS BUSES, INC.","Pre-K","28","Attendant"
"2015-2016","DON THOMAS BUSES, INC.","Pre-K","23","Driver"
"2015-2016","E-Z BUS LLC (B2321)","School Age","8","Attendant"
"2015-2016","E-Z BUS LLC (B2321)","School Age","11","Driver"
"2015-2016","EMPIRE CHARTER SERVICE INC","School Age","14","Attendant"
"2015-2016","EMPIRE CHARTER SERVICE INC","School Age","11","Driver"
"2015-2016","EMPIRE CHARTER SERVICE INC","School Age","1","Driver&Attendant"
"2015-2016","EMPIRE STATE BUS CORP.","School Age","13","Attendant"
"2015-2016","EMPIRE STATE BUS CORP.","School Age","21","Driver"
"2015-2016","EMPIRE STATE BUS CORP.","School Age","1","Driver&Attendant"
"2015-2016","FIRST STEPS TRANSP INC. (B2192)","School Age","197","Attendant"
"2015-2016","FIRST STEPS TRANSP INC. (B2192)","School Age","154","Driver"
"2015-2016","FIRST STEPS TRANSP INC. (B2192)","School Age","6","Driver&Attendant"
"2015-2016","FIRST STEPS","Pre-K","28","Attendant"
"2015-2016","FIRST STEPS","Pre-K","19","Driver"
"2015-2016","FORTUNA BUS COMPANY","Pre-K","37","Attendant"
"2015-2016","FORTUNA BUS COMPANY","Pre-K","39","Driver"
"2015-2016","G.V.C. LTD. (B2192)","School Age","134","Attendant"
"2015-2016","G.V.C. LTD. (B2192)","School Age","115","Driver"
"2015-2016","G.V.C. LTD. (B2192)","School Age","16","Driver&Attendant"
"2015-2016","G.V.C., LTD.","Pre-K","124","Attendant"
"2015-2016","G.V.C., LTD.","Pre-K","105","Driver"
"2015-2016","G.V.C., LTD.","Pre-K","8","Driver&Attendant"
"2015-2016","GRANDPA`S BUS CO., INC.","School Age","277","Driver"
"2015-2016","GRANDPA`S BUS CO., INC.","School Age","5","Driver&Attendant"
"2015-2016","HAPPY CHILD TRANS LLC (B2192)","School Age","147","Attendant"
"2015-2016","HAPPY CHILD TRANS LLC (B2192)","School Age","95","Driver"
"2015-2016","HAPPY CHILD TRANS LLC (B2192)","School Age","1","Driver&Attendant"
"2015-2016","HAPPY DAY TRANSIT","Pre-K","55","Attendant"
"2015-2016","HAPPY DAY TRANSIT","Pre-K","48","Driver"
"2015-2016","HAPPY DAY TRANSIT","Pre-K","1","Driver&Attendant"
"2015-2016","HOYT TRANSPORTATION CORP.","School Age","165","Attendant"
"2015-2016","HOYT TRANSPORTATION CORP.","School Age","144","Driver"
"2015-2016","I & Y TRANSIT CORP","Pre-K","9","Attendant"
"2015-2016","I & Y TRANSIT CORP","Pre-K","10","Driver"
"2015-2016","IC BUS INC. (PRE-K)","Pre-K","55","Attendant"
"2015-2016","IC BUS INC. (PRE-K)","Pre-K","48","Driver"
"2015-2016","IC BUS INC.","School Age","83","Attendant"
"2015-2016","IC BUS INC.","School Age","84","Driver"
"2015-2016","IC BUS INC.","School Age","1","Driver&Attendant"
"2015-2016","JEA BUS COMPANY INC","Pre-K","15","Attendant"
"2015-2016","JEA BUS COMPANY INC","Pre-K","20","Driver"
"2015-2016","JOFAZ TRANSPORTATION INC.","School Age","74","Attendant"
"2015-2016","JOFAZ TRANSPORTATION INC.","School Age","322","Driver"
"2015-2016","JOFAZ TRANSPORTATION INC.","School Age","3","Driver&Attendant"
"2015-2016","L & M BUS CORP. (B2192)","School Age","88","Attendant"
"2015-2016","L & M BUS CORP. (B2192)","School Age","69","Driver"
"2015-2016","L & M BUS CORP. (B2321)","School Age","10","Attendant"
"2015-2016","L & M BUS CORP. (B2321)","School Age","5","Driver"
"2015-2016","L & M BUS CORP.","Pre-K","228","Attendant"
"2015-2016","L & M BUS CORP.","Pre-K","210","Driver"
"2015-2016","L & M BUS CORP.","Pre-K","1","Driver&Attendant"
"2015-2016","LEESEL TRANSP CORP (B2192)","School Age","302","Attendant"
"2015-2016","LEESEL TRANSP CORP (B2192)","School Age","282","Driver"
"2015-2016","LEESEL TRANSP CORP (B2192)","School Age","13","Driver&Attendant"
"2015-2016","LITTLE LINDA BUS CO.,INC.","School Age","16","Attendant"
"2015-2016","LITTLE LINDA BUS CO.,INC.","School Age","17","Driver"
"2015-2016","LITTLE LISA BUS CO. INC.","School Age","73","Attendant"
"2015-2016","LITTLE LISA BUS CO. INC.","School Age","71","Driver"
"2015-2016","LITTLE RICHIE BUS SERVICE","School Age","550","Attendant"
"2015-2016","LITTLE RICHIE BUS SERVICE","School Age","547","Driver"
"2015-2016","LOGAN BUS COMPANY INC.","School Age","272","Attendant"
"2015-2016","LOGAN BUS COMPANY INC.","School Age","324","Driver"
"2015-2016","LOGAN BUS COMPANY INC.","School Age","5","Driver&Attendant"
"2015-2016","LOGAN TRANSPORTATION SYSTEMS","School Age","32","Driver"
"2015-2016","LORINDA ENT. LTD.","School Age","218","Attendant"
"2015-2016","LORINDA ENT. LTD.","School Age","203","Driver"
"2015-2016","LORINDA ENT. LTD.","School Age","2","Driver&Attendant"
"2015-2016","LORISSA BUS SERVICE INC.","School Age","124","Driver"
"2015-2016","MAR-CAN TRANSPORT CO. INC (B2192)","School Age","245","Attendant"
"2015-2016","MAR-CAN TRANSPORT CO. INC (B2192)","School Age","220","Driver"
"2015-2016","MAR-CAN TRANSPORT CO. INC (B2192)","School Age","3","Driver&Attendant"
"2015-2016","MONTAUK STUDENT TRANS LLC (B2192)","School Age","4","Attendant"
"2015-2016","MONTAUK STUDENT TRANS LLC (B2192)","School Age","2","Driver"
"2015-2016","MONTAUK STUDENT TRANS, INC. (B2321)","School Age","34","Attendant"
"2015-2016","MONTAUK STUDENT TRANS, INC. (B2321)","School Age","37","Driver"
"2015-2016","MUTUAL BUS CORP. (B2192)","School Age","13","Attendant"
"2015-2016","MUTUAL BUS CORP. (B2192)","School Age","14","Driver"
"2015-2016","SELBY TRANS CORP. (B2192)","School Age","2","Attendant"
"2015-2016","MUTUAL BUS CORP. (B2192)","School Age","3","Driver&Attendant"
"2015-2016","MUTUAL BUS CORP. (B2321)","School Age","44","Attendant"
"2015-2016","MUTUAL BUS CORP. (B2321)","School Age","18","Driver"
"2015-2016","MUTUAL BUS CORP. (B2321)","School Age","10","Driver&Attendant"
"2015-2016","MV TRANSPORTATION, INC.","School Age","29","Driver"
"2015-2016","NEW DAWN TRANSIT, LLC (B2321)","School Age","193","Attendant"
"2015-2016","NEW DAWN TRANSIT, LLC (B2321)","School Age","182","Driver"
"2015-2016","NEW DAWN TRANSIT, LLC (B2321)","School Age","3","Driver&Attendant"
"2015-2016","PENNY TRANSPORTATION","Pre-K","17","Attendant"
"2015-2016","PENNY TRANSPORTATION","Pre-K","23","Driver"
"2015-2016","PHILLIP BUS CORP (B2192)","School Age","40","Attendant"
"2015-2016","PHILLIP BUS CORP (B2192)","School Age","35","Driver"
"2015-2016","PHILLIP BUS CORP (B2192)","School Age","3","Driver&Attendant"
"2015-2016","PHILLIPS BUS SERVICE","Pre-K","51","Attendant"
"2015-2016","PHILLIPS BUS SERVICE","Pre-K","46","Driver"
"2015-2016","PHILLIPS BUS SERVICE","Pre-K","2","Driver&Attendant"
"2015-2016","PIONEER TRANSPORTATION CORP","School Age","190","Attendant"
"2015-2016","PIONEER TRANSPORTATION CORP","School Age","744","Driver"
"2015-2016","PIONEER TRANSPORTATION CORP","School Age","3","Driver&Attendant"
"2015-2016","PRIDE TRANSPORTATION (SCH AGE)","School Age","77","Attendant"
"2015-2016","PRIDE TRANSPORTATION (SCH AGE)","School Age","80","Driver"
"2015-2016","PRIDE TRANSPORTATION (SCH AGE)","School Age","3","Driver&Attendant"
"2015-2016","QUALITY TRANSPORTATION CORP.","School Age","147","Driver"
"2015-2016","QUALITY TRANSPORTATION CORP.","School Age","47","Driver&Attendant"
"2015-2016","R & C TRANSIT, INC. (B2321)","School Age","5","Attendant"
"2015-2016","R & C TRANSIT, INC. (B2321)","School Age","4","Driver"
"2015-2016","R & C TRANSIT, INC. (B2321)","School Age","1","Driver&Attendant"
"2015-2016","RELIANT TRANS, INC. (B2321)","School Age","991","Attendant"
"2015-2016","RELIANT TRANS, INC. (B2321)","School Age","938","Driver"
"2015-2016","RELIANT TRANS, INC. (B2321)","School Age","2","Driver&Attendant"
"2015-2016","RICHMOND COUNTY AMBULANCE SERV","Ambulance","3","Driver"
"2015-2016","RICHMOND COUNTY AMBULANCE SERV","Ambulance","18","Driver&EMT"
"2015-2016","RICHMOND COUNTY AMBULANCE SERV","Ambulance","2","Driver&Paramedic"
"2015-2016","RICHMOND COUNTY AMBULANCE SERV","Ambulance","22","EMT"
"2015-2016","RICHMOND COUNTY AMBULANCE SERV","Ambulance","11","Paramedic"
"2015-2016","ROYAL EXPRESS LINE CORP.","Pre-K","21","Attendant"
"2015-2016","ROYAL EXPRESS LINE CORP.","Pre-K","18","Driver"
"2015-2016","SAFE COACH INC. (B2321)","School Age","59","Attendant"
"2015-2016","SAFE COACH INC. (B2321)","School Age","54","Driver"
"2015-2016","SAFE COACH INC. (B2321)","School Age","4","Driver&Attendant"
"2015-2016","SELBY TRANS CORP. (B2192)","School Age","2","Driver"
"2015-2016","SELBY TRANSPORTATION","Pre-K","82","Attendant"
"2015-2016","SELBY TRANSPORTATION","Pre-K","5","Driver&Attendant"
"2015-2016","SMART PICK","Pre-K","43","Driver"
"2015-2016","SNT BUS INC","School Age","415","Driver"
"2015-2016","SUBURBAN TRAILS, INC","Coach","31","Driver"
"2015-2016","THIRD AVENUE TRANSIT","School Age","18","Attendant"
"2015-2016","THIRD AVENUE TRANSIT","School Age","11","Driver"
"2015-2016","THOMAS BUSES INC (B2192)","School Age","33","Attendant"
"2015-2016","THOMAS BUSES INC (B2192)","School Age","21","Driver"
"2015-2016","THOMAS BUSES INC (B2192)","School Age","1","Driver&Attendant"
"2015-2016","THOMAS BUSES, INC. (B2321)","School Age","75","Attendant"
"2015-2016","THOMAS BUSES, INC. (B2321)","School Age","69","Driver"
"2015-2016","THOMAS BUSES, INC. (B2321)","School Age","1","Driver&Attendant"
"2015-2016","THOMAS BUSES, INC.","Pre-K","16","Attendant"
"2015-2016","THOMAS BUSES, INC.","Pre-K","15","Driver"
"2015-2016","THOMAS BUSES, INC.","Pre-K","1","Driver&Attendant"
"2015-2016","TRANSCARE NEW YORK, INC.","Ambulance","2","Paramedic"
"2015-2016","TWENTY FIRST AV TRANSP (B2192)","School Age","145","Attendant"
"2015-2016","TWENTY FIRST AV TRANSP (B2192)","School Age","131","Driver"
"2015-2016","TWENTY FIRST AV TRANSP (B2192)","School Age","17","Driver&Attendant"
"2015-2016","VAN TRANS LLC (B2192)","School Age","157","Attendant"
"2015-2016","VAN TRANS LLC (B2192)","School Age","143","Driver"
"2015-2016","VAN TRANS LLC (B2192)","School Age","9","Driver&Attendant"
"2015-2016","VINNY`S BUS SERVICES (B2321)","School Age","45","Attendant"
"2015-2016","VINNY`S BUS SERVICES (B2321)","School Age","47","Driver"
"2015-2016","VINNY`S BUS SERVICES (B2321)","School Age","3","Driver&Attendant"
"2015-2016","Y & M TRANSIT CORP (B2192)","School Age","263","Attendant"
"2015-2016","Y & M TRANSIT CORP (B2192)","School Age","216","Driver"
"2015-2016","Y & M TRANSIT CORP (B2192)","School Age","19","Driver&Attendant"
"2015-2016","Y & M TRANSIT CORP (B2321)","School Age","30","Attendant"
"2015-2016","Y & M TRANSIT CORP (B2321)","School Age","22","Driver"
"2015-2016","Y & M TRANSIT CORP (B2321)","School Age","3","Driver&Attendant"
"2018-2019","SAFE COACH INC.","School Age","1","Attendant"
"2018-2019","VAN TRANS LLC","School Age","1","Attendant"
"2018-2019","VAN TRANS LLC","School Age","1","Driver"
"2018-2019","PRIDE TRANSPORTATION (SCH AGE)","School Age","15","Driver&Attendant"
"2018-2019","QUALITY TRANSPORTATION CORP.","School Age","233","Driver"
"2018-2019","RELIANT TRANSPORTATION, INC (B2321)","School Age","957","Attendant"
"2018-2019","RELIANT TRANSPORTATION, INC (B2321)","School Age","915","Driver"
"2018-2019","RELIANT TRANSPORTATION, INC (B2321)","School Age","38","Driver&Attendant"
"2018-2019","ANOTHER RIDE INC.","Pre-K","6","Driver"
"2018-2019","SAFE COACH INC. (B2321)","School Age","70","Attendant"
"2018-2019","SAFE COACH INC. (B2321)","School Age","53","Driver"
"2018-2019","SAFE COACH INC. (B2321)","School Age","6","Driver&Attendant"
"2018-2019","THOMAS BUSES, INC.","Pre-K","9","Driver"
"2018-2019","THOMAS BUSES, INC.","Pre-K","1","Driver&Attendant"
"2018-2019","VAN TRANS LLC (B2192)","School Age","177","Attendant"
"2018-2019","VAN TRANS LLC (B2192)","School Age","152","Driver"
"2018-2019","VAN TRANS LLC (B2192)","School Age","19","Driver&Attendant"
"2018-2019","VINNY`S BUS SERVICES (B2321)","School Age","68","Attendant"
"2016-2017","JEA BUS COMPANY INC","Pre-K","1","Attendant"
"2018-2019","VINNY`S BUS SERVICES (B2321)","School Age","69","Driver"
"2018-2019","VINNY`S BUS SERVICES (B2321)","School Age","1","Driver&Attendant"
"2018-2019","VOLUNTEER SCHOOL ATTENDANTS","School Age","10","Attendant"
"2018-2019","Y & M TRANSIT CORP (B2192)","School Age","304","Attendant"
"2018-2019","Y & M TRANSIT CORP (B2192)","School Age","211","Driver"
"2018-2019","Y & M TRANSIT CORP (B2192)","School Age","27","Driver&Attendant"
"2018-2019","Y & M TRANSIT CORP (B2321)","School Age","16","Attendant"
"2018-2019","Y & M TRANSIT CORP (B2321)","School Age","13","Driver"
"2018-2019","Y & M TRANSIT CORP (B2321)","School Age","1","Driver&Attendant"
"2018-2019","ACADEMY EXPRESS LLC","Coach","70","Driver"
"2018-2019","ACCORD BUS LLC","Coach","23","Driver"
"2018-2019","ALINA SERVICES CORP.","Pre-K","76","Attendant"
"2018-2019","ALINA SERVICES CORP.","Pre-K","66","Driver"
"2018-2019","ALINA SERVICES CORP.","Pre-K","3","Driver&Attendant"
"2018-2019","ALL AMERICAN SCHOOL BUS CORP.","School Age","138","Attendant"
"2018-2019","ALL AMERICAN SCHOOL BUS CORP.","School Age","214","Driver"
"2018-2019","ALL AMERICAN SCHOOL BUS CORP.","School Age","3","Driver&Attendant"
"2018-2019","ALL COUNTY BUS LLC (B2321)","School Age","46","Attendant"
"2018-2019","ALL COUNTY BUS LLC (B2321)","School Age","41","Driver"
"2018-2019","ALL COUNTY BUS LLC (B2321)","School Age","2","Driver&Attendant"
"2018-2019","ALLIED TRANSIT CORP.","School Age","24","Attendant"
"2018-2019","ALLIED TRANSIT CORP.","School Age","84","Driver"
"2018-2019","ALLIED TRANSIT CORP.","School Age","4","Driver&Attendant"
"2018-2019","ANOTHER RIDE INC.","Pre-K","7","Attendant"
"2018-2019","B & F SKILLED INC.(B2192)","School Age","58","Attendant"
"2018-2019","B & F SKILLED INC.(B2192)","School Age","52","Driver"
"2018-2019","B & F SKILLED INC.(B2192)","School Age","1","Driver&Attendant"
"2019-2020","ALL COUNTY BUS LLC (B2321)","School Age","2","Driver&Attendant"
"2019-2020","ALLIED TRANSIT CORP.","School Age","55","Attendant"
"2019-2020","ALLIED TRANSIT CORP.","School Age","103","Driver"
"2019-2020","ALLIED TRANSIT CORP.","School Age","7","Driver&Attendant"
"2019-2020","ANOTHER RIDE INC.","Pre-K","6","Attendant"
"2019-2020","ANOTHER RIDE INC.","Pre-K","8","Driver"
"2019-2020","B & F SKILLED INC.(B2192)","School Age","68","Attendant"
"2019-2020","B & F SKILLED INC.(B2192)","School Age","59","Driver"
"2019-2020","B & F SKILLED INC.(B2192)","School Age","1","Driver&Attendant"
"2019-2020","B & F SKILLED, INC.","Pre-K","5","Attendant"
"2019-2020","B & F SKILLED, INC.","Pre-K","3","Driver"
"2019-2020","BOBBY`S BUS CO. INC.","School Age","159","Driver"
"2019-2020","BORO TRANSIT, INC.","School Age","457","Attendant"
"2019-2020","BORO TRANSIT, INC.","School Age","591","Driver"
"2019-2020","BORO TRANSIT, INC.","School Age","8","Driver&Attendant"
"2019-2020","CAREFUL BUS SERVICE INC (B2192)","School Age","13","Attendant"
"2019-2020","CAREFUL BUS SERVICE INC (B2192)","School Age","9","Driver"
"2019-2020","CAREFUL BUS SERVICE INC (B2192)","School Age","1","Driver&Attendant"
"2019-2020","CAREFUL BUS","School Age","119","Attendant"
"2019-2020","CAREFUL BUS","School Age","106","Driver"
"2019-2020","CAREFUL BUS","School Age","12","Driver&Attendant"
"2018-2019","RICHMOND COUNTY AMBULANCE SERV","Ambulance","21","Driver&EMT"
"2018-2019","RICHMOND COUNTY AMBULANCE SERV","Ambulance","2","Driver&Paramedic"
"2018-2019","RICHMOND COUNTY AMBULANCE SERV","Ambulance","24","EMT"
"2018-2019","RICHMOND COUNTY AMBULANCE SERV","Ambulance","10","Paramedic"
"2018-2019","RICHMOND COUNTY AMBULANCE SERV","School Age","21","Driver&EMT"
"2018-2019","RICHMOND COUNTY AMBULANCE SERV","School Age","2","Driver&Paramedic"
"2018-2019","RICHMOND COUNTY AMBULANCE SERV","School Age","24","EMT"
"2018-2019","RICHMOND COUNTY AMBULANCE SERV","School Age","10","Paramedic"
"2018-2019","ROYAL EXPRESS LINE CORP.","Pre-K","20","Attendant"
"2018-2019","ROYAL EXPRESS LINE CORP.","Pre-K","19","Driver"
"2018-2019","S & J TOUR & BUS INC.","Coach","10","Driver"
"2019-2020","IC BUS INC. (PRE-K)","Pre-K","2","Driver&Attendant"
"2019-2020","CHILDREN`S TRANS INC. (B2321)","School Age","18","Attendant"
"2019-2020","CHILDREN`S TRANS INC. (B2321)","School Age","10","Driver"
"2019-2020","CHILDREN`S TRANS INC. (B2321)","School Age","1","Driver&Attendant"
"2019-2020","CONSOLIDATED BUS TRANSIT, INC.","School Age","269","Attendant"
"2019-2020","CONSOLIDATED BUS TRANSIT, INC.","School Age","226","Driver"
"2019-2020","CONSOLIDATED BUS TRANSIT, INC.","School Age","6","Driver&Attendant"
"2019-2020","DON THOMAS BUSES, INC. (B2321)","School Age","113","Attendant"
"2019-2020","DON THOMAS BUSES, INC. (B2321)","School Age","88","Driver"
"2019-2020","DON THOMAS BUSES, INC. (B2321)","School Age","8","Driver&Attendant"
"2016-2017","ACADEMY EXPRESS LLC","Coach","20","Driver"
"2016-2017","ACME BUS CORP. (B2321)","School Age","58","Attendant"
"2016-2017","ACME BUS CORP. (B2321)","School Age","57","Driver"
"2016-2017","ACME BUS CORP. (B2321)","School Age","5","Driver&Attendant"
"2016-2017","ALINA SERVICES CORP.","Pre-K","73","Attendant"
