"school_year","vendor_name","type_of_service","active_employees","job_type"
"2016-2017","SELBY TRANS CORP. (B2192)","School Age","1","Driver&Attendant"
"2016-2017","SMART PICK","Pre-K","39","Attendant"
"2016-2017","ALINA SERVICES CORP.","Pre-K","62","Driver"
"2016-2017","ALINA SERVICES CORP.","Pre-K","3","Driver&Attendant"
"2016-2017","ALL AMERICAN SCHOOL BUS CORP.","School Age","59","Attendant"
"2016-2017","ALL AMERICAN SCHOOL BUS CORP.","School Age","159","Driver"
"2016-2017","ALL COUNTY BUS LLC (B2321)","School Age","56","Attendant"
"2016-2017","ALL COUNTY BUS LLC (B2321)","School Age","51","Driver"
"2016-2017","ALLIED TRANSIT CORP.","School Age","48","Attendant"
"2016-2017","ALLIED TRANSIT CORP.","School Age","84","Driver"
"2016-2017","ALLIED TRANSIT CORP.","School Age","3","Driver&Attendant"
"2016-2017","ANOTHER RIDE INC.","Pre-K","8","Attendant"
"2016-2017","ANOTHER RIDE INC.","Pre-K","6","Driver"
"2016-2017","B & F SKILLED INC.(B2192)","School Age","55","Attendant"
"2016-2017","B & F SKILLED INC.(B2192)","School Age","49","Driver"
"2016-2017","MJT BUS","Pre-K","1","Driver"
"2016-2017","ALL COUNTY BUS LLC (B2321)","School Age","2","Driver&Attendant"
"2019-2020","DON THOMAS BUSES, INC.","Pre-K","28","Attendant"
"2019-2020","DON THOMAS BUSES, INC.","Pre-K","29","Driver"
"2019-2020","EMPIRE CHARTER SERVICE INC","School Age","56","Attendant"
"2019-2020","EMPIRE CHARTER SERVICE INC","School Age","53","Driver"
"2019-2020","EMPIRE CHARTER SERVICE INC","School Age","5","Driver&Attendant"
"2019-2020","EMPIRE STATE BUS CORP.","School Age","38","Attendant"
"2016-2017","B & F SKILLED INC.(B2192)","School Age","1","Driver&Attendant"
"2016-2017","B & F SKILLED, INC.","Pre-K","13","Attendant"
"2016-2017","B & F SKILLED, INC.","Pre-K","12","Driver"
"2016-2017","BOBBY`S BUS CO. INC.","School Age","147","Driver"
"2016-2017","BORO TRANSIT, INC.","School Age","384","Attendant"
"2016-2017","BORO TRANSIT, INC.","School Age","585","Driver"
"2016-2017","BORO TRANSIT, INC.","School Age","2","Driver&Attendant"
"2016-2017","CAREFUL BUS SERVICE INC (B2192)","School Age","16","Attendant"
"2016-2017","CAREFUL BUS SERVICE INC (B2192)","School Age","10","Driver"
"2016-2017","CAREFUL BUS SERVICE INC (B2192)","School Age","2","Driver&Attendant"
"2016-2017","CAREFUL BUS","School Age","117","Attendant"
"2016-2017","CAREFUL BUS","School Age","94","Driver"
"2016-2017","CAREFUL BUS","School Age","11","Driver&Attendant"
"2016-2017","CHILDREN`S TRANS INC. (B2321)","School Age","19","Attendant"
"2016-2017","MONTAUK STUDENT TRANS, INC. (B2321)","School Age","1","Driver&Attendant"
"2016-2017","RICHMOND COUNTY AMBULANCE SERV","Ambulance","1","Driver"
"2016-2017","TRANSCARE NEW YORK, INC.","Ambulance","2","Paramedic"
"2016-2017","CHILDREN`S TRANS INC. (B2321)","School Age","16","Driver"
"2016-2017","CHILDREN`S TRANS INC. (B2321)","School Age","1","Driver&Attendant"
"2016-2017","CONSOLIDATED BUS TRANS. INC.","School Age","156","Attendant"
"2016-2017","MV TRANSPORTATION, INC.","School Age","1","Driver&Attendant"
"2016-2017","PHILLIP BUS CORP (B2192)","School Age","1","Driver&Attendant"
"2016-2017","SAFE COACH INC.","School Age","1","Attendant"
"2016-2017","CONSOLIDATED BUS TRANS. INC.","School Age","122","Driver"
"2016-2017","CONSOLIDATED BUS TRANS. INC.","School Age","2","Driver&Attendant"
"2016-2017","DON THOMAS BUSES, INC. (B2321)","School Age","135","Attendant"
"2016-2017","DON THOMAS BUSES, INC. (B2321)","School Age","118","Driver"
"2016-2017","DON THOMAS BUSES, INC. (B2321)","School Age","5","Driver&Attendant"
"2016-2017","DON THOMAS BUSES, INC.","Pre-K","27","Attendant"
"2016-2017","L & M BUS CORP.","Pre-K","1","Driver&Attendant"
"2016-2017","LORINDA ENT. LTD.","School Age","1","Driver&Attendant"
"2016-2017","DON THOMAS BUSES, INC.","Pre-K","20","Driver"
"2016-2017","E-Z BUS LLC (B2321)","School Age","7","Attendant"
"2016-2017","E-Z BUS LLC (B2321)","School Age","9","Driver"
"2016-2017","PIONEER TRANSPORTATION CORP","School Age","1","Driver&Attendant"
"2016-2017","E-Z BUS LLC (B2321)","School Age","2","Driver&Attendant"
"2016-2017","EMPIRE CHARTER SERVICE INC","School Age","15","Attendant"
"2016-2017","EMPIRE CHARTER SERVICE INC","School Age","14","Driver"
"2016-2017","EMPIRE STATE BUS CORP.","School Age","12","Attendant"
"2016-2017","EMPIRE STATE BUS CORP.","School Age","19","Driver"
"2016-2017","EMPIRE STATE BUS CORP.","School Age","1","Driver&Attendant"
"2016-2017","FIRST STEPS TRANSP INC. (B2192)","School Age","153","Attendant"
"2016-2017","L & M BUS CORP (A)","School Age","11","Driver"
"2017-2018","FIRST STEPS","Pre-K","17","Driver"
"2016-2017","FIRST STEPS TRANSP INC. (B2192)","School Age","141","Driver"
"2016-2017","FIRST STEPS TRANSP INC. (B2192)","School Age","4","Driver&Attendant"
"2016-2017","FIRST STEPS","Pre-K","21","Attendant"
"2016-2017","FIRST STEPS","Pre-K","20","Driver"
"2016-2017","FORTUNA BUS COMPANY","Pre-K","41","Attendant"
"2016-2017","FORTUNA BUS COMPANY","Pre-K","39","Driver"
"2016-2017","G.V.C. LTD. (B2192)","School Age","160","Attendant"
"2016-2017","G.V.C. LTD. (B2192)","School Age","126","Driver"
"2016-2017","G.V.C. LTD. (B2192)","School Age","22","Driver&Attendant"
"2016-2017","G.V.C., LTD.","Pre-K","121","Attendant"
"2016-2017","G.V.C., LTD.","Pre-K","101","Driver"
"2016-2017","G.V.C., LTD.","Pre-K","8","Driver&Attendant"
"2016-2017","GRANDPA`S BUS CO., INC.","School Age","270","Driver"
"2016-2017","GRANDPA`S BUS CO., INC.","School Age","2","Driver&Attendant"
"2016-2017","HAPPY CHILD TRANS LLC (B2192)","School Age","138","Attendant"
"2016-2017","HAPPY CHILD TRANS LLC (B2192)","School Age","80","Driver"
"2016-2017","HAPPY DAY TRANSIT","Pre-K","62","Attendant"
"2016-2017","HAPPY DAY TRANSIT","Pre-K","45","Driver"
"2016-2017","HAPPY DAY TRANSIT","Pre-K","4","Driver&Attendant"
"2016-2017","HOYT TRANSPORTATION CORP.","School Age","203","Attendant"
"2016-2017","HOYT TRANSPORTATION CORP.","School Age","189","Driver"
"2016-2017","HOYT TRANSPORTATION CORP.","School Age","2","Driver&Attendant"
"2016-2017","I & Y TRANSIT CORP","Pre-K","11","Attendant"
"2016-2017","I & Y TRANSIT CORP","Pre-K","9","Driver"
"2016-2017","IC BUS INC. (PRE-K)","Pre-K","60","Attendant"
"2016-2017","IC BUS INC. (PRE-K)","Pre-K","64","Driver"
"2016-2017","IC BUS INC.","School Age","74","Attendant"
"2016-2017","IC BUS INC.","School Age","80","Driver"
"2016-2017","IC BUS INC.","School Age","2","Driver&Attendant"
"2016-2017","JOFAZ TRANSPORTATION INC.","School Age","80","Attendant"
"2016-2017","JOFAZ TRANSPORTATION INC.","School Age","351","Driver"
"2016-2017","JOFAZ TRANSPORTATION INC.","School Age","3","Driver&Attendant"
"2016-2017","L & M BUS CORP (A)","School Age","12","Attendant"
"2016-2017","L & M BUS CORP. (B2192)","School Age","60","Attendant"
"2016-2017","L & M BUS CORP. (B2192)","School Age","58","Driver"
"2016-2017","L & M BUS CORP. (B2192)","School Age","1","Driver&Attendant"
"2016-2017","L & M BUS CORP. (B2321)","School Age","12","Attendant"
"2016-2017","L & M BUS CORP. (B2321)","School Age","7","Driver"
"2016-2017","L & M BUS CORP.","Pre-K","236","Attendant"
"2016-2017","L & M BUS CORP.","Pre-K","208","Driver"
"2016-2017","LEESEL TRANSP CORP (B2192)","School Age","329","Attendant"
"2016-2017","LEESEL TRANSP CORP (B2192)","School Age","315","Driver"
"2016-2017","LEESEL TRANSP CORP (B2192)","School Age","15","Driver&Attendant"
"2016-2017","LITTLE LINDA BUS CO.,INC.","School Age","14","Attendant"
"2016-2017","LITTLE LINDA BUS CO.,INC.","School Age","15","Driver"
"2016-2017","LITTLE LISA BUS CO. INC.","School Age","112","Attendant"
"2016-2017","LITTLE LISA BUS CO. INC.","School Age","107","Driver"
"2016-2017","LITTLE LISA BUS CO. INC.","School Age","1","Driver&Attendant"
"2016-2017","LITTLE RICHIE BUS SERVICE","School Age","542","Attendant"
"2016-2017","LITTLE RICHIE BUS SERVICE","School Age","535","Driver"
"2016-2017","LITTLE RICHIE BUS SERVICE","School Age","2","Driver&Attendant"
"2016-2017","LOGAN BUS COMPANY INC.","School Age","309","Attendant"
"2016-2017","LOGAN BUS COMPANY INC.","School Age","365","Driver"
"2016-2017","LOGAN BUS COMPANY INC.","School Age","3","Driver&Attendant"
"2016-2017","LOGAN TRANSPORTATION SYSTEMS","School Age","31","Driver"
"2016-2017","LORINDA ENT. LTD.","School Age","256","Attendant"
"2016-2017","LORINDA ENT. LTD.","School Age","238","Driver"
"2016-2017","LORISSA BUS SERVICE INC.","School Age","124","Driver"
"2016-2017","MAR-CAN TRANSPORT CO. INC (B2192)","School Age","264","Attendant"
"2016-2017","MAR-CAN TRANSPORT CO. INC (B2192)","School Age","244","Driver"
"2016-2017","MAR-CAN TRANSPORT CO. INC (B2192)","School Age","2","Driver&Attendant"
"2016-2017","MONTAUK STUDENT TRANS LLC (B2192)","School Age","3","Attendant"
"2016-2017","MONTAUK STUDENT TRANS LLC (B2192)","School Age","7","Driver"
"2016-2017","MONTAUK STUDENT TRANS, INC. (B2321)","School Age","23","Attendant"
"2016-2017","MONTAUK STUDENT TRANS, INC. (B2321)","School Age","21","Driver"
"2016-2017","MUTUAL BUS CORP. (B2192)","School Age","12","Attendant"
"2016-2017","MUTUAL BUS CORP. (B2192)","School Age","8","Driver"
"2016-2017","MUTUAL BUS CORP. (B2192)","School Age","1","Driver&Attendant"
"2016-2017","MUTUAL BUS CORP. (B2321)","School Age","40","Attendant"
"2016-2017","MUTUAL BUS CORP. (B2321)","School Age","21","Driver"
"2016-2017","MUTUAL BUS CORP. (B2321)","School Age","7","Driver&Attendant"
"2016-2017","MV TRANSPORTATION, INC.","School Age","16","Driver"
"2016-2017","NEW DAWN TRANSIT, LLC (B2321)","School Age","232","Attendant"
"2016-2017","NEW DAWN TRANSIT, LLC (B2321)","School Age","210","Driver"
"2016-2017","NEW DAWN TRANSIT, LLC (B2321)","School Age","2","Driver&Attendant"
"2016-2017","PENNY TRANSPORTATION","Pre-K","28","Attendant"
"2016-2017","PENNY TRANSPORTATION","Pre-K","29","Driver"
"2016-2017","PHILLIP BUS CORP (B2192)","School Age","41","Attendant"
"2016-2017","PHILLIP BUS CORP (B2192)","School Age","43","Driver"
"2016-2017","PHILLIPS BUS SERVICE","Pre-K","50","Attendant"
"2016-2017","PHILLIPS BUS SERVICE","Pre-K","43","Driver"
"2016-2017","PHILLIPS BUS SERVICE","Pre-K","2","Driver&Attendant"
"2016-2017","PIONEER TRANSPORTATION CORP","School Age","200","Attendant"
"2016-2017","PIONEER TRANSPORTATION CORP","School Age","742","Driver"
"2016-2017","PRIDE TRANSPORTATION (SCH AGE)","School Age","113","Attendant"
"2016-2017","PRIDE TRANSPORTATION (SCH AGE)","School Age","123","Driver"
"2016-2017","PRIDE TRANSPORTATION (SCH AGE)","School Age","3","Driver&Attendant"
"2016-2017","QUALITY TRANSPORTATION CORP.","School Age","235","Driver"
"2016-2017","QUALITY TRANSPORTATION CORP.","School Age","2","Driver&Attendant"
"2016-2017","R & C TRANSIT, INC. (B2321)","School Age","6","Attendant"
"2016-2017","R & C TRANSIT, INC. (B2321)","School Age","4","Driver"
"2016-2017","R & C TRANSIT, INC. (B2321)","School Age","1","Driver&Attendant"
"2016-2017","RELIANT TRANS, INC. (B2321)","School Age","901","Attendant"
"2016-2017","RELIANT TRANS, INC. (B2321)","School Age","879","Driver"
"2016-2017","RELIANT TRANS, INC. (B2321)","School Age","9","Driver&Attendant"
"2016-2017","RICHMOND COUNTY AMBULANCE SERV","Ambulance","1","Attendant"
"2016-2017","RICHMOND COUNTY AMBULANCE SERV","Ambulance","22","Driver&EMT"
"2016-2017","RICHMOND COUNTY AMBULANCE SERV","Ambulance","1","Driver&Paramedic"
"2016-2017","RICHMOND COUNTY AMBULANCE SERV","Ambulance","29","EMT"
"2016-2017","RICHMOND COUNTY AMBULANCE SERV","Ambulance","10","Paramedic"
"2016-2017","RICHMOND COUNTY AMBULANCE SERV","School Age","1","Attendant"
"2016-2017","RICHMOND COUNTY AMBULANCE SERV","School Age","1","Driver"
"2016-2017","RICHMOND COUNTY AMBULANCE SERV","School Age","22","Driver&EMT"
"2016-2017","RICHMOND COUNTY AMBULANCE SERV","School Age","1","Driver&Paramedic"
"2016-2017","RICHMOND COUNTY AMBULANCE SERV","School Age","29","EMT"
"2016-2017","RICHMOND COUNTY AMBULANCE SERV","School Age","10","Paramedic"
"2016-2017","ROYAL EXPRESS LINE CORP.","Pre-K","22","Attendant"
"2016-2017","ROYAL EXPRESS LINE CORP.","Pre-K","21","Driver"
"2016-2017","SAFE COACH INC. (B2321)","School Age","63","Attendant"
"2016-2017","SAFE COACH INC. (B2321)","School Age","54","Driver"
"2016-2017","SAFE COACH INC. (B2321)","School Age","5","Driver&Attendant"
"2016-2017","SELBY TRANS CORP. (B2192)","School Age","3","Attendant"
"2016-2017","SELBY TRANS CORP. (B2192)","School Age","3","Driver"
"2016-2017","SELBY TRANSPORTATION","Pre-K","61","Attendant"
"2016-2017","SELBY TRANSPORTATION","Pre-K","83","Driver"
"2016-2017","SELBY TRANSPORTATION","Pre-K","2","Driver&Attendant"
"2016-2017","SMART PICK","Pre-K","37","Driver"
"2016-2017","SNT BUS INC","School Age","423","Driver"
"2016-2017","SUBURBAN TRAILS, INC","Coach","32","Driver"
"2016-2017","THIRD AVENUE TRANSIT","School Age","12","Attendant"
"2016-2017","THIRD AVENUE TRANSIT","School Age","11","Driver"
"2016-2017","THOMAS BUSES INC (B2192)","School Age","30","Attendant"
"2016-2017","THOMAS BUSES INC (B2192)","School Age","22","Driver"
"2016-2017","THOMAS BUSES INC (B2192)","School Age","1","Driver&Attendant"
"2016-2017","THOMAS BUSES, INC. (B2321)","School Age","80","Attendant"
"2016-2017","THOMAS BUSES, INC. (B2321)","School Age","48","Driver"
"2016-2017","THOMAS BUSES, INC.","Pre-K","17","Attendant"
"2016-2017","THOMAS BUSES, INC.","Pre-K","18","Driver"
"2016-2017","THOMAS BUSES, INC.","Pre-K","1","Driver&Attendant"
"2016-2017","TWENTY FIRST AV TRANSP (B2192)","School Age","135","Attendant"
"2016-2017","TWENTY FIRST AV TRANSP (B2192)","School Age","118","Driver"
"2016-2017","TWENTY FIRST AV TRANSP (B2192)","School Age","13","Driver&Attendant"
"2016-2017","VAN TRANS LLC (B2192)","School Age","160","Attendant"
"2016-2017","VAN TRANS LLC (B2192)","School Age","160","Driver"
"2016-2017","VAN TRANS LLC (B2192)","School Age","15","Driver&Attendant"
"2016-2017","VINNY`S BUS SERVICES (B2321)","School Age","53","Attendant"
"2016-2017","VINNY`S BUS SERVICES (B2321)","School Age","53","Driver"
"2016-2017","VINNY`S BUS SERVICES (B2321)","School Age","3","Driver&Attendant"
"2016-2017","Y & M TRANSIT CORP (B2192)","School Age","282","Attendant"
"2016-2017","Y & M TRANSIT CORP (B2192)","School Age","242","Driver"
"2016-2017","Y & M TRANSIT CORP (B2192)","School Age","15","Driver&Attendant"
"2016-2017","Y & M TRANSIT CORP (B2321)","School Age","25","Attendant"
"2016-2017","Y & M TRANSIT CORP (B2321)","School Age","18","Driver"
"2016-2017","Y & M TRANSIT CORP (B2321)","School Age","2","Driver&Attendant"
"2017-2018","ACME BUS CORP. (B2321)","School Age","65","Attendant"
"2017-2018","ACME BUS CORP. (B2321)","School Age","63","Driver"
"2017-2018","ACME BUS CORP. (B2321)","School Age","5","Driver&Attendant"
"2017-2018","ACADEMY EXPRESS LLC","Coach","17","Driver"
"2017-2018","ALINA SERVICES CORP.","Pre-K","74","Attendant"
"2017-2018","ALINA SERVICES CORP.","Pre-K","68","Driver"
"2017-2018","ALINA SERVICES CORP.","Pre-K","2","Driver&Attendant"
"2017-2018","ALL AMERICAN SCHOOL BUS CORP.","School Age","86","Attendant"
"2017-2018","ALL AMERICAN SCHOOL BUS CORP.","School Age","180","Driver"
"2017-2018","ALL COUNTY BUS LLC (B2321)","School Age","53","Attendant"
"2017-2018","ALL COUNTY BUS LLC (B2321)","School Age","46","Driver"
"2017-2018","ALL COUNTY BUS LLC (B2321)","School Age","2","Driver&Attendant"
"2017-2018","ALLIED TRANSIT CORP.","School Age","26","Attendant"
"2017-2018","MONTAUK STUDENT TRANS LLC (B2192)","School Age","3","Attendant"
"2017-2018","MONTAUK STUDENT TRANS LLC (B2192)","School Age","6","Driver"
"2017-2018","MONTAUK STUDENT TRANS, INC. (B2321)","School Age","19","Attendant"
"2017-2018","MONTAUK STUDENT TRANS, INC. (B2321)","School Age","13","Driver"
"2017-2018","RICHMOND COUNTY AMBULANCE SERV","Ambulance","1","Attendant"
"2017-2018","RICHMOND COUNTY AMBULANCE SERV","School Age","1","Attendant"
"2017-2018","ALLIED TRANSIT CORP.","School Age","80","Driver"
"2017-2018","ALLIED TRANSIT CORP.","School Age","4","Driver&Attendant"
"2017-2018","ANOTHER RIDE INC.","Pre-K","7","Attendant"
"2017-2018","ANOTHER RIDE INC.","Pre-K","8","Driver"
"2017-2018","B & F SKILLED INC.(B2192)","School Age","53","Attendant"
"2017-2018","B & F SKILLED INC.(B2192)","School Age","54","Driver"
"2017-2018","B & F SKILLED INC.(B2192)","School Age","1","Driver&Attendant"
"2017-2018","B & F SKILLED, INC.","Pre-K","11","Attendant"
"2017-2018","B & F SKILLED, INC.","Pre-K","9","Driver"
"2017-2018","BOBBY`S BUS CO. INC.","School Age","153","Driver"
"2017-2018","BORO TRANSIT, INC.","School Age","404","Attendant"
"2017-2018","BORO TRANSIT, INC.","School Age","576","Driver"
"2017-2018","BORO TRANSIT, INC.","School Age","2","Driver&Attendant"
"2017-2018","PHILLIPS BUS SERVICE","Pre-K","1","Driver&Attendant"
"2017-2018","SMART PICK","Pre-K","31","Driver"
"2017-2018","CAREFUL BUS SERVICE INC (B2192)","School Age","14","Attendant"
"2017-2018","CAREFUL BUS SERVICE INC (B2192)","School Age","10","Driver"
"2017-2018","CAREFUL BUS SERVICE INC (B2192)","School Age","2","Driver&Attendant"
"2017-2018","CAREFUL BUS","School Age","122","Attendant"
"2017-2018","CAREFUL BUS","School Age","100","Driver"
"2017-2018","CAREFUL BUS","School Age","8","Driver&Attendant"
"2017-2018","CONSOLIDATED BUS TRANS. INC.","School Age","256","Attendant"
"2017-2018","CONSOLIDATED BUS TRANS. INC.","School Age","172","Driver"
"2017-2018","CONSOLIDATED BUS TRANS. INC.","School Age","4","Driver&Attendant"
"2017-2018","CHILDREN`S TRANS INC. (B2321)","School Age","18","Attendant"
"2017-2018","CHILDREN`S TRANS INC. (B2321)","School Age","12","Driver"
"2017-2018","CHILDREN`S TRANS INC. (B2321)","School Age","1","Driver&Attendant"
"2017-2018","DON THOMAS BUSES, INC. (B2321)","School Age","147","Attendant"
"2017-2018","DON THOMAS BUSES, INC. (B2321)","School Age","103","Driver"
"2017-2018","DON THOMAS BUSES, INC. (B2321)","School Age","7","Driver&Attendant"
"2017-2018","DON THOMAS BUSES, INC.","Pre-K","27","Attendant"
"2017-2018","DON THOMAS BUSES, INC.","Pre-K","25","Driver"
"2017-2018","FIRST STEPS","Pre-K","21","Attendant"
"2017-2018","MJT BUS","Pre-K","1","Driver"
"2017-2018","SMART PICK","Pre-K","35","Attendant"
"2017-2018","FIRST STEPS TRANSP INC. (B2192)","School Age","144","Attendant"
"2017-2018","FIRST STEPS TRANSP INC. (B2192)","School Age","110","Driver"
"2017-2018","FIRST STEPS TRANSP INC. (B2192)","School Age","3","Driver&Attendant"
"2017-2018","DON THOMAS BUSES, INC.","Pre-K","1","Driver&Attendant"
"2017-2018","E-Z BUS LLC (B2321)","School Age","10","Attendant"
"2017-2018","E-Z BUS LLC (B2321)","School Age","7","Driver"
"2017-2018","E-Z BUS LLC (B2321)","School Age","2","Driver&Attendant"
"2017-2018","EMPIRE CHARTER SERVICE INC","School Age","53","Attendant"
"2017-2018","EMPIRE CHARTER SERVICE INC","School Age","43","Driver"
"2017-2018","EMPIRE CHARTER SERVICE INC","School Age","2","Driver&Attendant"
"2017-2018","EMPIRE STATE BUS CORP.","School Age","14","Attendant"
"2017-2018","EMPIRE STATE BUS CORP.","School Age","21","Driver"
"2017-2018","FIRST STEPS TRANS, INC","Pre-K","25","Attendant"
"2017-2018","FIRST STEPS TRANS, INC","Pre-K","15","Driver"
"2017-2018","LEESEL TRANSP CORP (B2192)","School Age","400","Attendant"
"2017-2018","LEESEL TRANSP CORP (B2192)","School Age","363","Driver"
"2017-2018","LEESEL TRANSP CORP (B2192)","School Age","22","Driver&Attendant"
"2017-2018","LORINDA ENT. LTD.","School Age","278","Attendant"
"2017-2018","LORINDA ENT. LTD.","School Age","250","Driver"
"2017-2018","LORINDA ENT. LTD.","School Age","2","Driver&Attendant"
"2017-2018","RELIANT TRANS, INC. (B2321)","School Age","941","Attendant"
"2017-2018","RELIANT TRANS, INC. (B2321)","School Age","907","Driver"
"2017-2018","RELIANT TRANS, INC. (B2321)","School Age","17","Driver&Attendant"
"2017-2018","SELBY TRANS CORP. (B2192)","School Age","4","Attendant"
"2017-2018","SELBY TRANS CORP. (B2192)","School Age","2","Driver"
"2017-2018","THIRD AVENUE TRANSIT","School Age","12","Attendant"
"2017-2018","THIRD AVENUE TRANSIT","School Age","10","Driver"
"2017-2018","THOMAS BUSES INC (B2192)","School Age","1","Driver&Attendant"
"2017-2018","CONSOLIDATED BUS TRANSIT, INC.","School Age","247","Attendant"
"2017-2018","MJT BUS COMPANY, INC","Pre-K","1","Driver"
"2017-2018","CONSOLIDATED BUS TRANSIT, INC.","School Age","178","Driver"
"2017-2018","CONSOLIDATED BUS TRANSIT, INC.","School Age","3","Driver&Attendant"
"2017-2018","FIRST STEPS TRANS INC. (B2192)","School Age","132","Attendant"
"2017-2018","FIRST STEPS TRANS INC. (B2192)","School Age","107","Driver"
"2017-2018","FIRST STEPS TRANS INC. (B2192)","School Age","3","Driver&Attendant"
"2017-2018","FORTUNA BUS COMPANY","Pre-K","40","Attendant"
"2017-2018","FORTUNA BUS COMPANY","Pre-K","36","Driver"
"2017-2018","G.V.C. LTD. (B2192)","School Age","165","Attendant"
"2017-2018","G.V.C. LTD. (B2192)","School Age","119","Driver"
"2017-2018","G.V.C. LTD. (B2192)","School Age","24","Driver&Attendant"
"2017-2018","G.V.C., LTD.","Pre-K","135","Attendant"
"2017-2018","G.V.C., LTD.","Pre-K","115","Driver"
"2017-2018","G.V.C., LTD.","Pre-K","7","Driver&Attendant"
"2017-2018","GRANDPA`S BUS CO., INC.","School Age","267","Driver"
"2017-2018","GRANDPA`S BUS CO., INC.","School Age","2","Driver&Attendant"
"2017-2018","IC BUS INC.","School Age","81","Driver"
"2017-2018","VOLUNTEER SCHOOL ATTENDANTS","Attendant","5","Attendant"
"2017-2018","VOLUNTEER SCHOOL ATTENDANTS","Pre-K","5","Attendant"
"2017-2018","MUTUAL BUS CORP. (B2192)","School Age","1","Driver&Attendant"
"2017-2018","QUALITY TRANSPORTATION CORP.","School Age","2","Driver&Attendant"
"2017-2018","SMART PICK INC","Pre-K","1","Driver&Attendant"
"2017-2018","ANOTHER RIDE INC.","Pre-K","1","Driver&Attendant"
"2017-2018","HAPPY CHILD TRANS LLC (B2192)","School Age","104","Attendant"
"2017-2018","HAPPY CHILD TRANS LLC (B2192)","School Age","66","Driver"
"2017-2018","HAPPY DAY TRANSIT","Pre-K","65","Attendant"
"2017-2018","HAPPY DAY TRANSIT","Pre-K","59","Driver"
"2017-2018","HAPPY DAY TRANSIT","Pre-K","3","Driver&Attendant"
"2017-2018","HOYT TRANSPORTATION CORP.","School Age","226","Attendant"
"2017-2018","HOYT TRANSPORTATION CORP.","School Age","211","Driver"
"2017-2018","HOYT TRANSPORTATION CORP.","School Age","5","Driver&Attendant"
"2017-2018","I & Y TRANSIT CORP","Pre-K","10","Attendant"
"2017-2018","I & Y TRANSIT CORP","Pre-K","8","Driver"
"2017-2018","IC BUS INC. (PRE-K)","Pre-K","64","Attendant"
"2017-2018","IC BUS INC. (PRE-K)","Pre-K","59","Driver"
"2017-2018","IC BUS INC.","School Age","79","Attendant"
"2017-2018","IC BUS INC.","School Age","2","Driver&Attendant"
"2017-2018","JOFAZ TRANSPORTATION INC.","School Age","79","Attendant"
"2017-2018","JOFAZ TRANSPORTATION INC.","School Age","322","Driver"
"2017-2018","JOFAZ TRANSPORTATION INC.","School Age","2","Driver&Attendant"
