"school_year","vendor_name","type_of_service","active_employees","job_type"
"2017-2018","L & M BUS CORP (A)","School Age","11","Attendant"
"2017-2018","L & M BUS CORP (A)","School Age","9","Driver"
"2017-2018","L & M BUS CORP. (B2192)","School Age","64","Attendant"
"2017-2018","L & M BUS CORP. (B2192)","School Age","54","Driver"
"2017-2018","L & M BUS CORP. (B2192)","School Age","1","Driver&Attendant"
"2017-2018","L & M BUS CORP. (B2321)","School Age","10","Attendant"
"2017-2018","L & M BUS CORP. (B2321)","School Age","7","Driver"
"2017-2018","L & M BUS CORP.","Pre-K","232","Attendant"
"2017-2018","L & M BUS CORP.","Pre-K","192","Driver"
"2017-2018","LEESEL TRANSPORTATION CORP (B2192)","School Age","395","Attendant"
"2017-2018","LEESEL TRANSPORTATION CORP (B2192)","School Age","361","Driver"
"2017-2018","LEESEL TRANSPORTATION CORP (B2192)","School Age","22","Driver&Attendant"
"2017-2018","LITTLE LINDA BUS CO.,INC.","School Age","15","Attendant"
"2017-2018","LITTLE LINDA BUS CO.,INC.","School Age","13","Driver"
"2017-2018","LITTLE LISA BUS CO. INC.","School Age","123","Attendant"
"2017-2018","LITTLE LISA BUS CO. INC.","School Age","119","Driver"
"2017-2018","LITTLE RICHIE BUS SERVICE","School Age","548","Attendant"
"2017-2018","LITTLE RICHIE BUS SERVICE","School Age","530","Driver"
"2017-2018","LITTLE RICHIE BUS SERVICE","School Age","1","Driver&Attendant"
"2017-2018","LOGAN BUS COMPANY INC.","School Age","340","Attendant"
"2017-2018","LOGAN BUS COMPANY INC.","School Age","366","Driver"
"2017-2018","LOGAN BUS COMPANY INC.","School Age","4","Driver&Attendant"
"2017-2018","LOGAN TRANSPORTATION SYSTEMS","School Age","34","Driver"
"2017-2018","LORINDA ENTERPRISES, LTD.","School Age","289","Attendant"
"2017-2018","LORINDA ENTERPRISES, LTD.","School Age","248","Driver"
"2017-2018","LORINDA ENTERPRISES, LTD.","School Age","1","Driver&Attendant"
"2017-2018","LORISSA BUS SERVICE INC.","School Age","113","Driver"
"2017-2018","MAR-CAN TRANSPORT CO. INC (B2192)","School Age","288","Attendant"
"2017-2018","MAR-CAN TRANSPORT CO. INC (B2192)","School Age","252","Driver"
"2017-2018","MAR-CAN TRANSPORT CO. INC (B2192)","School Age","3","Driver&Attendant"
"2017-2018","MUTUAL BUS CORP. (B2192)","School Age","9","Attendant"
"2017-2018","MUTUAL BUS CORP. (B2192)","School Age","10","Driver"
"2017-2018","MUTUAL BUS CORP. (B2321)","School Age","18","Attendant"
"2017-2018","MUTUAL BUS CORP. (B2321)","School Age","10","Driver"
"2017-2018","MUTUAL BUS CORP. (B2321)","School Age","5","Driver&Attendant"
"2017-2018","MV TRANSPORTATION, INC.","School Age","16","Driver"
"2017-2018","NEW DAWN TRANSIT, LLC (B2321)","School Age","209","Attendant"
"2017-2018","NEW DAWN TRANSIT, LLC (B2321)","School Age","179","Driver"
"2017-2018","NEW DAWN TRANSIT, LLC (B2321)","School Age","2","Driver&Attendant"
"2017-2018","PENNY TRANSPORTATION","Pre-K","31","Attendant"
"2017-2018","PENNY TRANSPORTATION","Pre-K","25","Driver"
"2017-2018","PHILLIP BUS CORP (B2192)","School Age","46","Attendant"
"2017-2018","PHILLIP BUS CORP (B2192)","School Age","42","Driver"
"2017-2018","PHILLIPS BUS SERVICE","Pre-K","54","Attendant"
"2017-2018","PHILLIPS BUS SERVICE","Pre-K","44","Driver"
"2017-2018","PIONEER TRANSPORTATION CORP","School Age","197","Attendant"
"2017-2018","PIONEER TRANSPORTATION CORP","School Age","726","Driver"
"2017-2018","PIONEER TRANSPORTATION CORP","School Age","1","Driver&Attendant"
"2017-2018","PRIDE TRANSPORTATION (SCH AGE)","School Age","153","Attendant"
"2017-2018","PRIDE TRANSPORTATION (SCH AGE)","School Age","149","Driver"
"2017-2018","PRIDE TRANSPORTATION (SCH AGE)","School Age","5","Driver&Attendant"
"2017-2018","QUALITY TRANSPORTATION CORP.","School Age","228","Driver"
"2017-2018","R & C TRANSIT, INC. (B2321)","School Age","7","Attendant"
"2017-2018","R & C TRANSIT, INC. (B2321)","School Age","4","Driver"
"2017-2018","R & C TRANSIT, INC. (B2321)","School Age","1","Driver&Attendant"
"2017-2018","RELIANT TRANSPORTATION, INC (B2321)","School Age","945","Attendant"
"2017-2018","RELIANT TRANSPORTATION, INC (B2321)","School Age","932","Driver"
"2017-2018","RELIANT TRANSPORTATION, INC (B2321)","School Age","21","Driver&Attendant"
"2017-2018","RICHMOND COUNTY AMBULANCE SERV","Ambulance","23","Driver&EMT"
"2017-2018","RICHMOND COUNTY AMBULANCE SERV","Ambulance","2","Driver&Paramedic"
"2017-2018","RICHMOND COUNTY AMBULANCE SERV","Ambulance","27","EMT"
"2017-2018","RICHMOND COUNTY AMBULANCE SERV","Ambulance","18","Paramedic"
"2017-2018","RICHMOND COUNTY AMBULANCE SERV","School Age","23","Driver&EMT"
"2017-2018","RICHMOND COUNTY AMBULANCE SERV","School Age","2","Driver&Paramedic"
"2017-2018","RICHMOND COUNTY AMBULANCE SERV","School Age","27","EMT"
"2017-2018","RICHMOND COUNTY AMBULANCE SERV","School Age","18","Paramedic"
"2017-2018","ROYAL EXPRESS LINE CORP.","Pre-K","19","Attendant"
"2017-2018","ROYAL EXPRESS LINE CORP.","Pre-K","17","Driver"
"2017-2018","SAFE COACH INC. (B2321)","School Age","62","Attendant"
"2017-2018","SAFE COACH INC. (B2321)","School Age","56","Driver"
"2017-2018","SAFE COACH INC. (B2321)","School Age","5","Driver&Attendant"
"2017-2018","SELBY TRANSPORTATION CORP (B2192)","School Age","3","Attendant"
"2017-2018","SELBY TRANSPORTATION CORP (B2192)","School Age","3","Driver"
"2017-2018","SELBY TRANSPORTATION","Pre-K","59","Attendant"
"2017-2018","SELBY TRANSPORTATION","Pre-K","55","Driver"
"2017-2018","SELBY TRANSPORTATION","Pre-K","2","Driver&Attendant"
"2017-2018","SMART PICK INC","Pre-K","32","Attendant"
"2017-2018","SMART PICK INC","Pre-K","32","Driver"
"2017-2018","SNT BUS INC","School Age","445","Driver"
"2017-2018","SNT BUS INC","School Age","1","Driver&Attendant"
"2017-2018","SUBURBAN TRAILS, INC","Coach","27","Driver"
"2017-2018","THIRD AVENUE TRANSIT, INC","School Age","11","Attendant"
"2017-2018","THIRD AVENUE TRANSIT, INC","School Age","10","Driver"
"2017-2018","THOMAS BUSES INC (B2192)","School Age","25","Attendant"
"2017-2018","THOMAS BUSES INC (B2192)","School Age","21","Driver"
"2017-2018","THOMAS BUSES, INC. (B2321)","School Age","67","Attendant"
"2017-2018","THOMAS BUSES, INC. (B2321)","School Age","48","Driver"
"2017-2018","THOMAS BUSES, INC.","Pre-K","18","Attendant"
"2017-2018","THOMAS BUSES, INC.","Pre-K","14","Driver"
"2017-2018","THOMAS BUSES, INC.","Pre-K","1","Driver&Attendant"
"2017-2018","TWENTY FIRST AV TRANSP (B2192)","School Age","136","Attendant"
"2017-2018","TWENTY FIRST AV TRANSP (B2192)","School Age","121","Driver"
"2017-2018","TWENTY FIRST AV TRANSP (B2192)","School Age","11","Driver&Attendant"
"2017-2018","VAN TRANS LLC (B2192)","School Age","215","Attendant"
"2017-2018","VAN TRANS LLC (B2192)","School Age","173","Driver"
"2017-2018","VAN TRANS LLC (B2192)","School Age","21","Driver&Attendant"
"2017-2018","VINNY`S BUS SERVICES (B2321)","School Age","60","Attendant"
"2017-2018","VINNY`S BUS SERVICES (B2321)","School Age","63","Driver"
"2017-2018","VINNY`S BUS SERVICES (B2321)","School Age","3","Driver&Attendant"
"2017-2018","VOLUNTEER SCHOOL ATTENDANTS","School Age","7","Attendant"
"2017-2018","Y & M TRANSIT CORP (B2192)","School Age","318","Attendant"
"2017-2018","Y & M TRANSIT CORP (B2192)","School Age","256","Driver"
"2017-2018","Y & M TRANSIT CORP (B2192)","School Age","21","Driver&Attendant"
"2017-2018","Y & M TRANSIT CORP (B2321)","School Age","19","Attendant"
"2017-2018","Y & M TRANSIT CORP (B2321)","School Age","13","Driver"
"2017-2018","Y & M TRANSIT CORP (B2321)","School Age","2","Driver&Attendant"
"2019-2020","EMPIRE STATE BUS CORP.","School Age","27","Driver"
"2019-2020","EMPIRE STATE BUS CORP.","School Age","4","Driver&Attendant"
"2019-2020","FIRST STEPS TRANS INC. (B2192)","School Age","75","Attendant"
"2019-2020","FIRST STEPS TRANS INC. (B2192)","School Age","40","Driver"
"2019-2020","FIRST STEPS TRANS INC. (B2192)","School Age","3","Driver&Attendant"
"2019-2020","FIRST STEPS TRANS, INC","Pre-K","20","Attendant"
"2019-2020","FIRST STEPS TRANS, INC","Pre-K","14","Driver"
"2019-2020","FORTUNA BUS COMPANY","Pre-K","47","Attendant"
"2019-2020","FORTUNA BUS COMPANY","Pre-K","33","Driver"
"2019-2020","G.V.C. LTD. (B2192)","School Age","181","Attendant"
"2019-2020","G.V.C. LTD. (B2192)","School Age","124","Driver"
"2019-2020","G.V.C. LTD. (B2192)","School Age","28","Driver&Attendant"
"2019-2020","G.V.C., LTD.","Pre-K","146","Attendant"
"2019-2020","G.V.C., LTD.","Pre-K","125","Driver"
"2019-2020","SELBY TRANSPORTATION","Pre-K","1","Driver&Attendant"
"2019-2020","G.V.C., LTD.","Pre-K","9","Driver&Attendant"
"2019-2020","GRANDPA`S BUS CO., INC.","School Age","301","Driver"
"2019-2020","GRANDPA`S BUS CO., INC.","School Age","2","Driver&Attendant"
"2019-2020","HAPPY DAY TRANSIT","Pre-K","69","Attendant"
"2019-2020","HAPPY DAY TRANSIT","Pre-K","64","Driver"
"2019-2020","HAPPY DAY TRANSIT","Pre-K","4","Driver&Attendant"
"2019-2020","HOYT TRANSPORTATION CORP.","School Age","328","Attendant"
"2019-2020","HOYT TRANSPORTATION CORP.","School Age","309","Driver"
"2019-2020","HOYT TRANSPORTATION CORP.","School Age","11","Driver&Attendant"
"2019-2020","THOMAS BUSES, INC.","Pre-K","4","Attendant"
"2019-2020","I & Y TRANSIT CORP","Pre-K","15","Attendant"
"2019-2020","I & Y TRANSIT CORP","Pre-K","16","Driver"
"2019-2020","IC BUS INC. (PRE-K)","Pre-K","82","Attendant"
"2019-2020","IC BUS INC. (PRE-K)","Pre-K","67","Driver"
"2019-2020","IC BUS INC.","School Age","113","Attendant"
"2019-2020","IC BUS INC.","School Age","111","Driver"
"2019-2020","IC BUS INC.","School Age","6","Driver&Attendant"
"2019-2020","J & R TOURS LTD","Coach","13","Driver"
"2019-2020","JOFAZ TRANSPORTATION INC.","School Age","145","Attendant"
"2019-2020","JOFAZ TRANSPORTATION INC.","School Age","367","Driver"
"2019-2020","JOFAZ TRANSPORTATION INC.","School Age","3","Driver&Attendant"
"2019-2020","L & M BUS CORP (A)","School Age","118","Attendant"
"2019-2020","L & M BUS CORP (A)","School Age","89","Driver"
"2019-2020","L & M BUS CORP (A)","School Age","2","Driver&Attendant"
"2018-2019","MJT BUS COMPANY, INC","Pre-K","1","Driver"
"2019-2020","L & M BUS CORP. (B2192)","School Age","1","Driver"
"2018-2019","B & F SKILLED, INC.","Pre-K","6","Driver"
"2018-2019","BOBBY`S BUS CO. INC.","School Age","155","Driver"
"2018-2019","BORO TRANSIT, INC.","School Age","373","Attendant"
"2018-2019","BORO TRANSIT, INC.","School Age","570","Driver"
"2018-2019","BORO TRANSIT, INC.","School Age","4","Driver&Attendant"
"2018-2019","CAREFUL BUS SERVICE INC (B2192)","School Age","16","Attendant"
"2018-2019","CAREFUL BUS SERVICE INC (B2192)","School Age","10","Driver"
"2019-2020","L & M BUS CORP. (B2192)","School Age","8","Attendant"
"2018-2019","R & C TRANSIT, INC. (B2321)","School Age","6","Attendant"
"2018-2019","R & C TRANSIT, INC. (B2321)","School Age","4","Driver"
"2018-2019","R & C TRANSIT, INC. (B2321)","School Age","1","Driver&Attendant"
"2019-2020","L & M BUS CORP. (B2321)","School Age","1","Attendant"
"2019-2020","L & M BUS CORP.","Pre-K","226","Attendant"
"2019-2020","L & M BUS CORP.","Pre-K","205","Driver"
"2019-2020","L & M BUS CORP.","Pre-K","3","Driver&Attendant"
"2018-2019","CAREFUL BUS","School Age","123","Attendant"
"2019-2020","LEESEL TRANSPORTATION CORP (B2192)","School Age","458","Attendant"
"2019-2020","LEESEL TRANSPORTATION CORP (B2192)","School Age","457","Driver"
"2019-2020","LEESEL TRANSPORTATION CORP (B2192)","School Age","22","Driver&Attendant"
"2019-2020","LITTLE LINDA BUS CO.,INC.","School Age","16","Attendant"
"2018-2019","HOYT TRANSPORTATION CORP.","School Age","272","Attendant"
"2018-2019","HOYT TRANSPORTATION CORP.","School Age","264","Driver"
"2018-2019","HOYT TRANSPORTATION CORP.","School Age","8","Driver&Attendant"
"2018-2019","I & Y TRANSIT CORP","Pre-K","11","Attendant"
"2018-2019","I & Y TRANSIT CORP","Pre-K","6","Driver"
"2018-2019","IC BUS INC. (PRE-K)","Pre-K","75","Attendant"
"2018-2019","IC BUS INC. (PRE-K)","Pre-K","71","Driver"
"2018-2019","IC BUS INC. (PRE-K)","Pre-K","3","Driver&Attendant"
"2018-2019","IC BUS INC.","School Age","83","Attendant"
"2018-2019","IC BUS INC.","School Age","85","Driver"
"2018-2019","IC BUS INC.","School Age","2","Driver&Attendant"
"2018-2019","J & R TOURS LTD","Coach","13","Driver"
"2018-2019","JOFAZ TRANSPORTATION INC.","School Age","92","Attendant"
"2018-2019","JOFAZ TRANSPORTATION INC.","School Age","330","Driver"
"2018-2019","JOFAZ TRANSPORTATION INC.","School Age","2","Driver&Attendant"
"2018-2019","L & M BUS CORP (A)","School Age","104","Attendant"
"2018-2019","L & M BUS CORP (A)","School Age","60","Driver"
"2018-2019","L & M BUS CORP. (B2192)","School Age","60","Attendant"
"2018-2019","L & M BUS CORP. (B2192)","School Age","51","Driver"
"2019-2020","LITTLE LINDA BUS CO.,INC.","School Age","11","Driver"
"2019-2020","LITTLE LISA BUS CO. INC.","School Age","131","Attendant"
"2019-2020","LITTLE LISA BUS CO. INC.","School Age","84","Driver"
"2019-2020","LITTLE LISA BUS CO. INC.","School Age","1","Driver&Attendant"
"2019-2020","LITTLE RICHIE BUS SERVICE","School Age","547","Attendant"
"2019-2020","LITTLE RICHIE BUS SERVICE","School Age","477","Driver"
"2019-2020","LITTLE RICHIE BUS SERVICE","School Age","2","Driver&Attendant"
"2019-2020","LOGAN BUS COMPANY INC.","School Age","322","Attendant"
"2019-2020","LOGAN BUS COMPANY INC.","School Age","344","Driver"
"2019-2020","LOGAN BUS COMPANY INC.","School Age","4","Driver&Attendant"
"2019-2020","LORINDA ENTERPRISES, LTD.","School Age","1","Driver&Attendant"
"2019-2020","LOGAN TRANSPORTATION SYSTEMS","School Age","31","Driver"
"2019-2020","LORINDA ENTERPRISES, LTD.","School Age","298","Attendant"
"2019-2020","LORINDA ENTERPRISES, LTD.","School Age","262","Driver"
"2019-2020","LORISSA BUS SERVICE INC.","School Age","134","Driver"
"2019-2020","MAR-CAN TRANSPORT CO. INC (B2192)","School Age","278","Attendant"
"2019-2020","MAR-CAN TRANSPORT CO. INC (B2192)","School Age","247","Driver"
"2019-2020","MAR-CAN TRANSPORT CO. INC (B2192)","School Age","7","Driver&Attendant"
"2019-2020","NEW DAWN TRANSIT, LLC (B2321)","School Age","138","Attendant"
"2019-2020","NEW DAWN TRANSIT, LLC (B2321)","School Age","115","Driver"
"2019-2020","NEW DAWN TRANSIT, LLC (B2321)","School Age","5","Driver&Attendant"
"2019-2020","PENNY TRANSPORTATION","Pre-K","33","Attendant"
"2019-2020","PENNY TRANSPORTATION","Pre-K","28","Driver"
"2019-2020","PHILLIP BUS CORP (B2192)","School Age","47","Attendant"
"2019-2020","PHILLIP BUS CORP (B2192)","School Age","47","Driver"
"2019-2020","PHILLIP BUS CORP (B2192)","School Age","3","Driver&Attendant"
"2019-2020","PHILLIPS BUS SERVICE","Pre-K","68","Attendant"
"2019-2020","PHILLIPS BUS SERVICE","Pre-K","48","Driver"
"2019-2020","PHILLIPS BUS SERVICE","Pre-K","1","Driver&Attendant"
"2019-2020","PIONEER TRANSPORTATION CORP","School Age","200","Attendant"
"2019-2020","PIONEER TRANSPORTATION CORP","School Age","683","Driver"
"2019-2020","PIONEER TRANSPORTATION CORP","School Age","5","Driver&Attendant"
"2019-2020","PRIDE TRANSPORTATION (SCH AGE)","School Age","446","Attendant"
"2019-2020","PRIDE TRANSPORTATION (SCH AGE)","School Age","377","Driver"
"2019-2020","PRIDE TRANSPORTATION (SCH AGE)","School Age","13","Driver&Attendant"
"2019-2020","QUALITY TRANSPORTATION CORP.","School Age","253","Driver"
"2019-2020","RELIANT TRANSPORTATION, INC (B2321)","School Age","982","Attendant"
"2019-2020","RELIANT TRANSPORTATION, INC (B2321)","School Age","939","Driver"
"2018-2019","B & F SKILLED, INC.","Pre-K","10","Attendant"
"2018-2019","CAREFUL BUS SERVICE INC (B2192)","School Age","2","Driver&Attendant"
"2018-2019","CAREFUL BUS","School Age","106","Driver"
"2018-2019","CAREFUL BUS","School Age","9","Driver&Attendant"
"2018-2019","CHILDREN`S TRANS INC. (B2321)","School Age","13","Attendant"
"2018-2019","CHILDREN`S TRANS INC. (B2321)","School Age","11","Driver"
"2018-2019","CHILDREN`S TRANS INC. (B2321)","School Age","1","Driver&Attendant"
"2018-2019","CONSOLIDATED BUS TRANSIT, INC.","School Age","266","Attendant"
"2018-2019","CONSOLIDATED BUS TRANSIT, INC.","School Age","199","Driver"
"2018-2019","CONSOLIDATED BUS TRANSIT, INC.","School Age","3","Driver&Attendant"
"2018-2019","DON THOMAS BUSES, INC. (B2321)","School Age","114","Attendant"
"2018-2019","DON THOMAS BUSES, INC. (B2321)","School Age","94","Driver"
"2018-2019","DON THOMAS BUSES, INC. (B2321)","School Age","8","Driver&Attendant"
"2018-2019","DON THOMAS BUSES, INC.","Pre-K","25","Driver"
"2018-2019","EMPIRE CHARTER SERVICE INC","School Age","40","Attendant"
"2018-2019","EMPIRE CHARTER SERVICE INC","School Age","23","Driver"
"2018-2019","EMPIRE CHARTER SERVICE INC","School Age","4","Driver&Attendant"
"2018-2019","EMPIRE STATE BUS CORP.","School Age","21","Attendant"
"2018-2019","EMPIRE STATE BUS CORP.","School Age","27","Driver"
"2018-2019","EMPIRE STATE BUS CORP.","School Age","1","Driver&Attendant"
"2018-2019","FIRST STEPS TRANS INC. (B2192)","School Age","111","Attendant"
"2018-2019","FIRST STEPS TRANS INC. (B2192)","School Age","79","Driver"
"2018-2019","FIRST STEPS TRANS INC. (B2192)","School Age","3","Driver&Attendant"
"2018-2019","FIRST STEPS TRANS, INC","Pre-K","22","Attendant"
"2018-2019","FIRST STEPS TRANS, INC","Pre-K","14","Driver"
"2018-2019","FORTUNA BUS COMPANY","Pre-K","44","Attendant"
"2018-2019","FORTUNA BUS COMPANY","Pre-K","35","Driver"
"2018-2019","G.V.C. LTD. (B2192)","School Age","179","Attendant"
"2018-2019","G.V.C. LTD. (B2192)","School Age","126","Driver"
"2018-2019","G.V.C. LTD. (B2192)","School Age","25","Driver&Attendant"
"2018-2019","G.V.C., LTD.","Pre-K","118","Attendant"
"2018-2019","G.V.C., LTD.","Pre-K","102","Driver"
"2018-2019","G.V.C., LTD.","Pre-K","6","Driver&Attendant"
"2018-2019","GRANDPA`S BUS CO., INC.","School Age","299","Driver"
"2018-2019","GRANDPA`S BUS CO., INC.","School Age","2","Driver&Attendant"
"2018-2019","HAPPY DAY TRANSIT","Pre-K","69","Attendant"
"2018-2019","HAPPY DAY TRANSIT","Pre-K","60","Driver"
"2018-2019","HAPPY DAY TRANSIT","Pre-K","4","Driver&Attendant"
"2018-2019","L & M BUS CORP. (B2192)","School Age","2","Driver&Attendant"
"2018-2019","L & M BUS CORP. (B2321)","School Age","9","Attendant"
"2018-2019","L & M BUS CORP. (B2321)","School Age","7","Driver"
"2018-2019","L & M BUS CORP.","Pre-K","234","Attendant"
"2019-2020","RELIANT TRANSPORTATION, INC (B2321)","School Age","19","Driver&Attendant"
"2019-2020","RICHMOND COUNTY AMBULANCE SERV","Ambulance","20","Driver&EMT"
"2019-2020","RICHMOND COUNTY AMBULANCE SERV","Ambulance","1","Driver&Paramedic"
"2018-2019","L & M BUS CORP.","Pre-K","186","Driver"
"2018-2019","LEESEL TRANSPORTATION CORP (B2192)","School Age","398","Attendant"
"2018-2019","LEESEL TRANSPORTATION CORP (B2192)","School Age","376","Driver"
"2018-2019","LEESEL TRANSPORTATION CORP (B2192)","School Age","28","Driver&Attendant"
"2018-2019","LITTLE LINDA BUS CO.,INC.","School Age","16","Attendant"
"2018-2019","LITTLE LINDA BUS CO.,INC.","School Age","13","Driver"
"2018-2019","LITTLE LISA BUS CO. INC.","School Age","128","Attendant"
"2018-2019","LITTLE LISA BUS CO. INC.","School Age","103","Driver"
"2018-2019","LITTLE LISA BUS CO. INC.","School Age","5","Driver&Attendant"
"2018-2019","LITTLE RICHIE BUS SERVICE","School Age","558","Attendant"
"2018-2019","LITTLE RICHIE BUS SERVICE","School Age","503","Driver"
"2018-2019","LITTLE RICHIE BUS SERVICE","School Age","3","Driver&Attendant"
"2018-2019","LOGAN BUS COMPANY INC.","School Age","348","Attendant"
"2018-2019","LOGAN BUS COMPANY INC.","School Age","363","Driver"
"2018-2019","SELBY TRANSPORTATION","Pre-K","56","Attendant"
"2018-2019","SELBY TRANSPORTATION","Pre-K","52","Driver"
"2018-2019","SELBY TRANSPORTATION","Pre-K","1","Driver&Attendant"
"2018-2019","SMART PICK INC","Pre-K","30","Attendant"
"2018-2019","SMART PICK INC","Pre-K","24","Driver"
"2018-2019","SNT BUS INC","School Age","422","Driver"
"2018-2019","SUBURBAN TRAILS, INC","Coach","66","Driver"
"2018-2019","THIRD AVENUE TRANSIT, INC","School Age","13","Attendant"
"2018-2019","THIRD AVENUE TRANSIT, INC","School Age","13","Driver"
"2018-2019","THOMAS BUSES INC (B2192)","School Age","27","Attendant"
"2018-2019","THOMAS BUSES INC (B2192)","School Age","20","Driver"
"2018-2019","THOMAS BUSES, INC. (B2321)","School Age","38","Attendant"
"2018-2019","THOMAS BUSES, INC. (B2321)","School Age","28","Driver"
"2018-2019","THOMAS BUSES, INC.","Pre-K","16","Attendant"
"2019-2020","RICHMOND COUNTY AMBULANCE SERV","Ambulance","24","EMT"
"2019-2020","RICHMOND COUNTY AMBULANCE SERV","Ambulance","13","Paramedic"
"2019-2020","RICHMOND COUNTY AMBULANCE SERV","School Age","20","Driver&EMT"
"2019-2020","RICHMOND COUNTY AMBULANCE SERV","School Age","1","Driver&Paramedic"
"2019-2020","RICHMOND COUNTY AMBULANCE SERV","School Age","24","EMT"
"2019-2020","RICHMOND COUNTY AMBULANCE SERV","School Age","13","Paramedic"
"2019-2020","ROYAL EXPRESS LINE CORP.","Pre-K","25","Attendant"
"2019-2020","L & M BUS CORP. (B2321)","School Age","1","Driver"
"2019-2020","ROYAL EXPRESS LINE CORP.","Pre-K","18","Driver"
"2019-2020","SAFE COACH INC.","School Age","1","Attendant"
"2019-2020","SELBY TRANSPORTATION","Pre-K","52","Attendant"
"2019-2020","SELBY TRANSPORTATION","Pre-K","34","Driver"
"2019-2020","SMART PICK INC","Pre-K","39","Attendant"
"2019-2020","SMART PICK INC","Pre-K","29","Driver"
"2019-2020","SNT BUS INC","School Age","425","Driver"
"2019-2020","SUBURBAN TRAILS, INC","Coach","60","Driver"
"2019-2020","THIRD AVENUE TRANSIT, INC","School Age","15","Attendant"
"2019-2020","THIRD AVENUE TRANSIT, INC","School Age","15","Driver"
"2019-2020","THOMAS BUSES INC (B2192)","School Age","23","Attendant"
"2019-2020","THOMAS BUSES INC (B2192)","School Age","16","Driver"
"2019-2020","THOMAS BUSES, INC. (B2321)","School Age","53","Attendant"
"2019-2020","THOMAS BUSES, INC. (B2321)","School Age","48","Driver"
"2019-2020","THOMAS BUSES, INC. (B2321)","School Age","1","Driver&Attendant"
"2019-2020","VAN TRANS LLC (B2192)","School Age","162","Attendant"
"2019-2020","VAN TRANS LLC (B2192)","School Age","137","Driver"
"2019-2020","VAN TRANS LLC (B2192)","School Age","14","Driver&Attendant"
"2019-2020","Y & M TRANSIT CORP (B2321)","School Age","2","Attendant"
"2019-2020","Y & M TRANSIT CORP (B2321)","School Age","1","Driver"
"2019-2020","VINNY`S BUS SERVICES (B2321)","School Age","84","Attendant"
"2019-2020","VINNY`S BUS SERVICES (B2321)","School Age","71","Driver"
"2019-2020","VINNY`S BUS SERVICES (B2321)","School Age","5","Driver&Attendant"
"2019-2020","VOLUNTEER SCHOOL ATTENDANTS","School Age","12","Attendant"
"2019-2020","Y & M TRANSIT CORP (B2192)","School Age","251","Attendant"
"2019-2020","ACADEMY EXPRESS LLC","Coach","64","Driver"
"2019-2020","ACCORD BUS LLC","Coach","23","Driver"
"2019-2020","ALINA SERVICES CORP.","Pre-K","82","Attendant"
"2019-2020","ALINA SERVICES CORP.","Pre-K","63","Driver"
"2019-2020","ALINA SERVICES CORP.","Pre-K","3","Driver&Attendant"
